test_1,test_2,result,start,stop,time_index,battery_current,field,measurement,host,name,slave_id,type
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:18:00Z,-137,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:20:00Z,-137,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:22:00Z,-137.33333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:24:00Z,-138,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:26:00Z,-138,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:28:00Z,-138,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:30:00Z,-138,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:32:00Z,-138.16666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:34:00Z,-138.33333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:36:00Z,-138.83333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:38:00Z,-139,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:40:00Z,-139,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:42:00Z,-139,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:44:00Z,-139,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:46:00Z,-139.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:48:00Z,-139.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:50:00Z,-139.83333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:52:00Z,-139.83333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:54:00Z,-140,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:56:00Z,-140,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T07:58:00Z,-140.16666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:00:00Z,-140,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:02:00Z,-140.33333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:04:00Z,-140,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:06:00Z,-140.16666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:08:00Z,-140,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:10:00Z,-141,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:12:00Z,-141.83333333333334,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:14:00Z,-142.16666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:16:00Z,-142.66666666666666,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
,,0,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T08:18:00Z,-142.5,battery current,modbus,freqcon,MB198_DC01_01,2,holding_register
